Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-12-01,4002,15.9,64.0,35.050918,-85.293019
2023-12-02,4002,11.0,55.0,35.050918,-85.293019
2023-12-03,4002,3.9,22.0,35.050918,-85.293019
2023-12-04,4002,7.2,40.0,35.050918,-85.293019
2023-12-05,4002,7.2,40.0,35.050918,-85.293019
2023-12-06,4002,5.2,29.0,35.050918,-85.293019
2023-12-07,4002,9.7,52.0,35.050918,-85.293019
2023-12-08,4002,17.0,66.0,35.050918,-85.293019
2023-12-09,4002,11.3,55.0,35.050918,-85.293019
2023-12-10,4002,3.7,21.0,35.050918,-85.293019
2023-12-11,4002,5.3,29.0,35.050918,-85.293019
2023-12-12,4002,9.3,51.0,35.050918,-85.293019
2023-12-13,4002,11.1,55.0,35.050918,-85.293019
2023-12-14,4002,7.6,42.0,35.050918,-85.293019
2023-12-15,4002,15.2,62.0,35.050918,-85.293019
2023-12-16,4002,14.2,61.0,35.050918,-85.293019
2023-12-17,4002,4.6,26.0,35.050918,-85.293019
2023-12-18,4002,5.5,31.0,35.050918,-85.293019
2023-12-19,4002,4.8,27.0,35.050918,-85.293019
2023-12-20,4002,14.8,62.0,35.050918,-85.293019
2023-12-21,4002,23.1,77.0,35.050918,-85.293019
2023-12-22,4002,29.0,88.0,35.050918,-85.293019
2023-12-23,4002,23.3,77.0,35.050918,-85.293019
2023-12-24,4002,15.4,63.0,35.050918,-85.293019
2023-12-25,4002,2.9,16.0,35.050918,-85.293019
2023-12-26,4002,3.7,21.0,35.050918,-85.293019
2023-12-27,4002,5.5,31.0,35.050918,-85.293019
2023-12-28,4002,3.6,20.0,35.050918,-85.293019
2023-12-29,4002,4.7,26.0,35.050918,-85.293019
2023-12-30,4002,4.7,26.0,35.050918,-85.293019
2023-12-31,4002,6.4,36.0,35.050918,-85.293019
